genre: '80s | artist: Hall & Oates | song: Kiss On My List | album: The Best Of Hall & Oates | album track #: 1 | time: 234
genre: '80s | artist: Hall & Oates | song: You Make My Dreams | album: The Best Of Hall & Oates | album track #: 2 | time: 187
genre: '80s | artist: Hall & Oates | song: Private Eyes | album: The Best Of Hall & Oates | album track #: 3 | time: 217
genre: '80s | artist: Hall & Oates | song: I Can't Go for That (No Can Co) (Extended Edit) | album: The Best Of Hall & Oates | album track #: 4 | time: 321
genre: '80s | artist: Hall & Oates | song: Your Imagination (Extended Edit) | album: The Best Of Hall & Oates | album track #: 5 | time: 308
genre: '80s | artist: Hall & Oates | song: Maneater | album: The Best Of Hall & Oates | album track #: 6 | time: 264
genre: '80s | artist: Hall & Oates | song: Family Man | album: The Best Of Hall & Oates | album track #: 7 | time: 207
genre: '80s | artist: Hall & Oates | song: Say It Isn't So | album: The Best Of Hall & Oates | album track #: 8 | time: 257
genre: '80s | artist: Hall & Oates | song: Adult Education | album: The Best Of Hall & Oates | album track #: 9 | time: 241
genre: '80s | artist: Hall & Oates | song: Out Of Touch | album: The Best Of Hall & Oates | album track #: 10 | time: 248
genre: '80s | artist: Hall & Oates | song: Some Things Are Better Left Unsaid | album: The Best Of Hall & Oates | album track #: 11 | time: 325
genre: '80s | artist: Heart | song: Never | album:  | album track #: 4 | time: 243
genre: '80s | artist: INXS | song: Need You Tonight | album:  | album track #: 4 | time: 190
genre: '80s | artist: Madonna | song: Like A Virgin | album:  | album track #:  | time: 191
genre: '80s | artist: Michael Sembello | song: Maniac | album:  | album track #: 6 | time: 244
genre: '80s | artist: Motels | song: Only The Lonely | album:  | album track #:  | time: 194
genre: '80s | artist: Pet Shop Boys | song: Suburbia | album:  | album track #: 4 | time: 244
genre: '80s | artist: Peter Schilling | song: Major Tom | album:  | album track #:  | time: 240
genre: '80s | artist: Prince & The Revolution | song: Delirious | album:  | album track #: 3 | time: 240
genre: '80s | artist: Rockwell | song: SomebodyÂ’s Watching Me | album:  | album track #: 5 | time: 241
genre: '80s | artist: Sheena Easton | song: Strut | album:  | album track #:  | time: 240
genre: '80s | artist: Survivor | song: Eye of the Tiger | album:  | album track #:  | time: 243
genre: '80s | artist: The Police | song: Don't Stand So Close To Me | album:  | album track #:  | time: 241
genre: '80s | artist: The Tubes | song: She's A Beauty | album:  | album track #: 15 | time: 241
genre: '80s | artist: Toni Basil | song: Mickey | album:  | album track #:  | time: 242
genre: '80s | artist: Van Halen | song: Jump | album:  | album track #:  | time: 241
genre: Classic Rock | artist: Steely Dan | song: Black Cow | album: Aja | album track #: 1 | time: 308
genre: Classic Rock | artist: Steely Dan | song: Aja | album: Aja | album track #: 2 | time: 476
genre: Classic Rock | artist: Steely Dan | song: Deacon Blues | album: Aja | album track #: 3 | time: 453
genre: Classic Rock | artist: Steely Dan | song: Peg | album: Aja | album track #: 4 | time: 235
genre: Classic Rock | artist: Steely Dan | song: Home At Last | album: Aja | album track #: 5 | time: 332
genre: Classic Rock | artist: Steely Dan | song: I Got The News | album: Aja | album track #: 6 | time: 304
genre: Classic Rock | artist: Steely Dan | song: Josie | album: Aja | album track #: 7 | time: 271
